Ag,Al,La,Phase,,,,,,,,,
73,12,15,AM,,,,,,,,,
79,6,15,AM,,,,,,,,,
81,4,15,AM,,,,,,,,,
83,2,15,AM,,,,,,,,,
85,0,15,AM,,,,,,,,,
12.5,72.5,15,AM,,,,,,,,,
25,60,15,AM,,,,,,,,,
42.5,42.5,15,AM,,,,,,,,,
59,26,15,AM,,,,,,,,,
75,10,15,AM,,,,,,,,,
81.5,3.5,15,AM,,,,,,,,,
Co,Fe,Tb,Phase,,,,,,,,,
7,73,30,AM,,,,,,,,,
8.5,76.5,15,AM,,,,,,,,,
Co,Fe,Zr,Phase,,,,,,,,,
0,90,10,AM,,,,,,,,,
10,80,10,AM,,,,,,,,,
18,72,10,AM,,,,,,,,,
30,60,10,AM,,,,,,,,,
45,45,10,AM,,,,,,,,,
60,30,10,AM,,,,,,,,,
72,18,10,AM,,,,,,,,,
9,81,10,AM,,,,,,,,,
27,63,10,AM,,,,,,,,,
36,54,10,AM,,,,,,,,,
54,36,10,AM,,,,,,,,,
90,0,10,AM,,,,,,,,,
4,86,10,AM,,,,,,,,,
20,70,10,AM,,,,,,,,,
40,50,10,AM,,,,,,,,,
50,40,10,AM,,,,,,,,,
70,20,10,AM,,,,,,,,,
80,10,10,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
0,30,70,AM,,,,,,,,,
0,91,9,AM,,,,,,,,,
30,0,70,AM,,,,,,,,,
55,0,45,AM,,,,,,,,,
85,0,15,AM,,,,,,,,,
22.5,67.5,10,AM,,,,,,,,,
67.5,22.5,10,AM,,,,,,,,,
Co,Gd,Mo,Phase,,,,,,,,,
70.6,14,15.4,AM,,,,,,,,,
72.8,19.4,7.8,AM,,,,,,,,,
73,12.9,14.1,AM,,,,,,,,,
75.6,8.4,16,AM,,,,,,,,,
Co,Mn,Nb,Phase,,,,,,,,,
66,19,15,AM,,,,,,,,,
73,12,15,AM,,,,,,,,,
75,10,15,AM,,,,,,,,,
77,8,15,AM,,,,,,,,,
79,6,15,AM,,,,,,,,,
81,4,15,AM,,,,,,,,,
83,2,15,AM,,,,,,,,,
85,0,15,AM,,,,,,,,,
Co,Mn,Zr,Phase,,,,,,,,,
0,90,10,AM,,,,,,,,,
2,88,10,AM,,,,,,,,,
5,85,10,AM,,,,,,,,,
10,80,10,AM,,,,,,,,,
Co,Mo,Zr,Phase,,,,,,,,,
65.5,20,14.5,AM,,,,,,,,,
67,18,15,AM,,,,,,,,,
68.6,16,15.4,AM,,,,,,,,,
70.3,14,15.7,AM,,,,,,,,,
72,12,16,AM,,,,,,,,,
74,10,16,AM,,,,,,,,,
74.8,20,5.2,AM,,,,,,,,,
75.7,8,16.3,AM,,,,,,,,,
77,18,5,AM,,,,,,,,,
77.5,6,16.5,AM,,,,,,,,,
79,16,5,AM,,,,,,,,,
79.7,4,16.3,AM,,,,,,,,,
81,14,5,AM,,,,,,,,,
82,2,16,AM,,,,,,,,,
83,12,5,AM,,,,,,,,,
84,0,16,AM,,,,,,,,,
84.8,10,5.2,AM,,,,,,,,,
86.5,8,5.5,AM,,,,,,,,,
88,6,6,AM,,,,,,,,,
89,4,7,AM,,,,,,,,,
90,2,8,AM,,,,,,,,,
91,0,9,AM,,,,,,,,,
80,9.5,10.5,AM,,,,,,,,,
74.5,13,12.5,AM,,,,,,,,,
78,10.8,11.2,AM,,,,,,,,,
79.5,10,10.5,AM,,,,,,,,,
80,10,10,AM,,,,,,,,,
81.6,9,9.4,AM,,,,,,,,,
82.4,8.6,9,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
86.2,6.4,7.4,AM,,,,,,,,,
90,0,10,AM,,,,,,,,,
Co,Nb,Ni,Phase,,,,,,,,,
73,15,12,AM,,,,,,,,,
85,15,0,AM,,,,,,,,,
Co,Nb,Zr,Phase,,,,,,,,,
80,10,10,AM,,,,,,,,,
89,8.5,2.5,AM,,,,,,,,,
Co,Nb,Zr,Phase,,,,,,,,,
81.5,13.5,5,AM,,,,,,,,,
Co,Ni,Ta,Phase,,,,,,,,,
0,50,50,AM,,,,,,,,,
10,40,50,AM,,,,,,,,,
Co,Ni,Zr,Phase,,,,,,,,,
80,10,10,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
88,2,10,AM,,,,,,,,,
90,0,10,AM,,,,,,,,,
30,20,50,AM,,,,,,,,,
0,33,67,AM,,,,,,,,,
33,0.05,66.95,AM,,,,,,,,,
33,0.1,66.9,AM,,,,,,,,,
33,0.15,66.85,AM,,,,,,,,,
33,0.2,66.8,AM,,,,,,,,,
15,28.05,56.95,AM,,,,,,,,,
5,31.35,63.65,AM,,,,,,,,,
10,29.7,60.3,AM,,,,,,,,,
20,26.4,53.6,AM,,,,,,,,,
67.5,7.5,25,AM,,,,,,,,,
81,9,10,AM,,,,,,,,,
Co,Pd,Zr,Phase,,,,,,,,,
25,10,65,AM,,,,,,,,,
30,5,65,AM,,,,,,,,,
34,1,65,AM,,,,,,,,,
54,1,45,AM,,,,,,,,,
Co,V,Zr,Phase,,,,,,,,,
66,20,14,AM,,,,,,,,,
67.5,18,14.5,AM,,,,,,,,,
69.2,16,14.8,AM,,,,,,,,,
71,14,15,AM,,,,,,,,,
72.5,20,7.5,AM,,,,,,,,,
72.8,12,15.2,AM,,,,,,,,,
74.5,10,15.5,AM,,,,,,,,,
75,18,7,AM,,,,,,,,,
76.3,8,15.7,AM,,,,,,,,,
77.2,16,6.8,AM,,,,,,,,,
78,6,16,AM,,,,,,,,,
79.5,14,6.5,AM,,,,,,,,,
80,4,16,AM,,,,,,,,,
81.5,12,6.5,AM,,,,,,,,,
82,2,16,AM,,,,,,,,,
83.5,10,6.5,AM,,,,,,,,,
84,0,16,AM,,,,,,,,,
85,8,7,AM,,,,,,,,,
86.5,6,7.5,AM,,,,,,,,,
88,4,8,AM,,,,,,,,,
89.5,2,8.5,AM,,,,,,,,,
91,0,9,AM,,,,,,,,,
75.8,12,12.2,AM,,,,,,,,,
79.2,10.6,10.2,AM,,,,,,,,,
80,10,10,AM,,,,,,,,,
81.8,9,9.2,AM,,,,,,,,,
84,8,8,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
90,0,10,AM,,,,,,,,,
Co,W,Zr,Phase,,,,,,,,,
74,12,14,AM,,,,,,,,,
74,13,13,AM,,,,,,,,,
74.5,14,11.5,AM,,,,,,,,,
75,10,15,AM,,,,,,,,,
76.4,8,15.6,AM,,,,,,,,,
77,14,9,AM,,,,,,,,,
78.2,6,15.8,AM,,,,,,,,,
79.5,13,7.5,AM,,,,,,,,,
80,4,16,AM,,,,,,,,,
82,2,16,AM,,,,,,,,,
82,12,6,AM,,,,,,,,,
84,0,16,AM,,,,,,,,,
84.8,10,5.2,AM,,,,,,,,,
86.8,8,5.2,AM,,,,,,,,,
88.5,6,5.5,AM,,,,,,,,,
89.8,4,6.2,AM,,,,,,,,,
90.2,2,7.8,AM,,,,,,,,,
91,0,9,AM,,,,,,,,,
78,8,14,AM,,,,,,,,,
80,10,10,AM,,,,,,,,,
80.5,7,12.5,AM,,,,,,,,,
82.2,6.6,11.2,AM,,,,,,,,,
84,6,10,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
85.5,5,9.5,AM,,,,,,,,,
90,0,10,AM,,,,,,,,,
Cr,Fe,Zr,Phase,,,,,,,,,
0,90,10,AM,,,,,,,,,
4,86,10,AM,,,,,,,,,
6,84,10,AM,,,,,,,,,
8,82,10,AM,,,,,,,,,
10,80,10,AM,,,,,,,,,
15,75,10,AM,,,,,,,,,
17,73,10,AM,,,,,,,,,
20,70,10,AM,,,,,,,,,
25,65,10,AM,,,,,,,,,
2,88,10,AM,,,,,,,,,
7,83,10,AM,,,,,,,,,
Cr,Ge,Pd,Phase,,,,,,,,,
1,18,81,AM,,,,,,,,,
3,18,79,AM,,,,,,,,,
4,18,78,AM,,,,,,,,,
5,18,77,AM,,,,,,,,,
7,18,75,AM,,,,,,,,,
Cr,Mo,Ni,Phase,,,,,,,,,
0,41,59,AM,,,,,,,,,
0,53,47,AM,,,,,,,,,
0,69,31,AM,,,,,,,,,
19,19,62,AM,,,,,,,,,
22,57,21,AM,,,,,,,,,
23,43,34,AM,,,,,,,,,
32,25,43,AM,,,,,,,,,
35,38,27,AM,,,,,,,,,
38,25,37,AM,,,,,,,,,
39,33,28,AM,,,,,,,,,
40,44,16,AM,,,,,,,,,
42,27,31,AM,,,,,,,,,
46,20,34,AM,,,,,,,,,
48,26,26,AM,,,,,,,,,
48,30,22,AM,,,,,,,,,
52,10,38,AM,,,,,,,,,
52,12,36,AM,,,,,,,,,
53,29,18,AM,,,,,,,,,
54,16,30,AM,,,,,,,,,
54,30,16,AM,,,,,,,,,
56,5,39,AM,,,,,,,,,
22,61,17,AC,,,,,,,,,
19,66,15,CR,,,,,,,,,
Cr,Ni,Zr,Phase,,,,,,,,,
0,33,67,AM,,,,,,,,,
33,0.05,66.95,AM,,,,,,,,,
33,0.1,66.9,AM,,,,,,,,,
33,0.15,66.85,AM,,,,,,,,,
33,0.2,66.8,AM,,,,,,,,,
15,28.05,56.95,AM,,,,,,,,,
5,31.35,63.65,AM,,,,,,,,,
10,29.7,60.3,AM,,,,,,,,,
20,26.4,53.6,AM,,,,,,,,,
0,60,40,AM,,,,,,,,,
5,55,40,AM,,,,,,,,,
10,50,40,AM,,,,,,,,,
15,15,70,AM,,,,,,,,,
15,25,60,AM,,,,,,,,,
15,35,50,AM,,,,,,,,,
15,45,40,AM,,,,,,,,,
Cu,Fe,Ti,Phase,,,,,,,,,
35,5,60,AM,,,,,,,,,
40,10,50,AM,,,,,,,,,
45,5,50,AM,,,,,,,,,
55,5,40,AM,,,,,,,,,
Cu,Fe,Zr,Phase,,,,,,,,,
40,20,40,AM,,,,,,,,,
50,10,40,AM,,,,,,,,,
53,7,40,AM,,,,,,,,,
55,5,40,AM,,,,,,,,,
57,3,40,AM,,,,,,,,,
59,1,40,AM,,,,,,,,,
60,0,40,AM,,,,,,,,,
Cu,Hf,Nb,Phase,,,,,,,,,
38.2,28.8,33,AM,,,,,,,,,
39.9,30.1,30,AM,,,,,,,,,
42.7,32.3,25,AM,,,,,,,,,
45.6,34.4,20,AM,,,,,,,,,
48.4,36.6,15,AM,,,,,,,,,
51.3,38.7,10,AM,,,,,,,,,
54.1,40.9,5,AM,,,,,,,,,
56.4,42.6,1,AM,,,,,,,,,
57,21,22,AM,,,,,,,,,
57,23,20,AM,,,,,,,,,
57,28,15,AM,,,,,,,,,
57,33,10,AM,,,,,,,,,
57,38,5,AM,,,,,,,,,
57,42,1,AM,,,,,,,,,
Cu,Hf,Ni,Phase,,,,,,,,,
0,30,70,AM,,,,,,,,,
0,40,60,AM,,,,,,,,,
0,50,50,AM,,,,,,,,,
0,60,40,AM,,,,,,,,,
0,70,30,AM,,,,,,,,,
10,20,70,AM,,,,,,,,,
10,30,60,AM,,,,,,,,,
10,40,50,AM,,,,,,,,,
10,50,40,AM,,,,,,,,,
10,60,30,AM,,,,,,,,,
10,70,20,AM,,,,,,,,,
10,75,15,AM,,,,,,,,,
15,55,30,AM,,,,,,,,,
20,20,60,AM,,,,,,,,,
20,30,50,AM,,,,,,,,,
20,40,40,AM,,,,,,,,,
20,50,30,AM,,,,,,,,,
20,55,25,AM,,,,,,,,,
20,60,20,AM,,,,,,,,,
20,65,15,AM,,,,,,,,,
20,70,10,AM,,,,,,,,,
25,50,25,AM,,,,,,,,,
25,55,20,AM,,,,,,,,,
30,20,50,AM,,,,,,,,,
30,30,40,AM,,,,,,,,,
30,40,30,AM,,,,,,,,,
30,45,25,AM,,,,,,,,,
30,50,20,AM,,,,,,,,,
30,55,15,AM,,,,,,,,,
30,60,10,AM,,,,,,,,,
30,70,0,AM,,,,,,,,,
35,45,20,AM,,,,,,,,,
35,50,15,AM,,,,,,,,,
40,20,40,AM,,,,,,,,,
40,30,30,AM,,,,,,,,,
40,40,20,AM,,,,,,,,,
40,45,15,AM,,,,,,,,,
40,50,10,AM,,,,,,,,,
40,60,0,AM,,,,,,,,,
50,20,30,AM,,,,,,,,,
50,30,20,AM,,,,,,,,,
50,40,10,AM,,,,,,,,,
50,50,0,AM,,,,,,,,,
60,20,20,AM,,,,,,,,,
60,30,10,AM,,,,,,,,,
60,40,0,AM,,,,,,,,,
70,30,0,AM,,,,,,,,,
70,20,10,AC,,,,,,,,,
10,80,10,CR,,,,,,,,,
20,10,70,CR,,,,,,,,,
20,75,5,CR,,,,,,,,,
30,10,60,CR,,,,,,,,,
40,10,50,CR,,,,,,,,,
50,10,40,CR,,,,,,,,,
60,10,30,CR,,,,,,,,,
70,10,20,CR,,,,,,,,,
Cu,La,Mg,Phase,,,,,,,,,
15,5,80,AM,,,,,,,,,
15,40,45,AM,,,,,,,,,
20,0,80,AM,,,,,,,,,
20,5,75,AM,,,,,,,,,
20,10,70,AM,,,,,,,,,
20,30,50,AM,,,,,,,,,
20,40,40,AM,,,,,,,,,
25,20,55,AM,,,,,,,,,
25,30,45,AM,,,,,,,,,
25,40,35,AM,,,,,,,,,
30,0,70,AM,,,,,,,,,
30,5,65,AM,,,,,,,,,
30,10,60,AM,,,,,,,,,
30,20,50,AM,,,,,,,,,
30,30,40,AM,,,,,,,,,
30,40,30,AM,,,,,,,,,
40,0,60,AM,,,,,,,,,
40,5,55,AM,,,,,,,,,
40,10,50,AM,,,,,,,,,
40,20,40,AM,,,,,,,,,
40,30,30,AM,,,,,,,,,
50,10,40,AM,,,,,,,,,
50,20,30,AM,,,,,,,,,
10,40,50,AC,,,,,,,,,
15,0,85,AC,,,,,,,,,
15,10,75,AC,,,,,,,,,
15,15,70,AC,,,,,,,,,
15,30,55,AC,,,,,,,,,
20,25,55,AC,,,,,,,,,
20,50,30,AC,,,,,,,,,
25,25,50,AC,,,,,,,,,
30,50,20,AC,,,,,,,,,
40,40,20,AC,,,,,,,,,
50,30,20,AC,,,,,,,,,
10,0,90,CR,,,,,,,,,
10,10,80,CR,,,,,,,,,
20,20,60,CR,,,,,,,,,
50,0,50,CR,,,,,,,,,
Cu,La,Sr,Phase,,,,,,,,,
27,69,4,AM,,,,,,,,,
27,70,3,AM,,,,,,,,,
27,71,2,AM,,,,,,,,,
27,73,0,AM,,,,,,,,,
27.5,66,6.5,AM,,,,,,,,,
27.5,67.5,5,AM,,,,,,,,,
28,63.5,8.5,AM,,,,,,,,,
28,64.5,7.5,AM,,,,,,,,,
28.5,61.5,10,AM,,,,,,,,,
28.5,62.5,9,AM,,,,,,,,,
29,60,11,AM,,,,,,,,,
30,57.5,12.5,AM ,,,,,,,,,
30,58,12,AM,,,,,,,,,
30.5,56,13.5,AM,,,,,,,,,
31,55,14,AM,,,,,,,,,
32,53.5,14.5,AM,,,,,,,,,
32.5,52.5,15,AM,,,,,,,,,
33,51.5,15.5,AM,,,,,,,,,
34,50,16,AM,,,,,,,,,
35,48,17,AM,,,,,,,,,
36,47,17,AM,,,,,,,,,
37,47,16,AM,,,,,,,,,
37,48,15,AM,,,,,,,,,
37,49,14,AM,,,,,,,,,
37,50.5,12.5,AM,,,,,,,,,
37,52,11,AM,,,,,,,,,
37,53,10,AM,,,,,,,,,
37,54,9,AM,,,,,,,,,
37,55,8,AM,,,,,,,,,
37,56,7,AM,,,,,,,,,
37,57,6,AM,,,,,,,,,
37,58,5,AM,,,,,,,,,
37,59,4,AM,,,,,,,,,
37,59.5,3.5,AM,,,,,,,,,
37,60.5,2.5,AM,,,,,,,,,
37,61.5,1.5,AM,,,,,,,,,
37,62,1,AM,,,,,,,,,
37,63,0,AM,,,,,,,,,
Cu,Mg,Nd,Phase,,,,,,,,,
5,85,10,AM,,,,,,,,,
10,70,20,AM,,,,,,,,,
10,75,15,AM,,,,,,,,,
10,80,10,AM,,,,,,,,,
10,85,5,AM,,,,,,,,,
15,65,20,AM,,,,,,,,,
15,70,15,AM,,,,,,,,,
15,75,10,AM,,,,,,,,,
15,80,5,AM,,,,,,,,,
20,45,35,AM,,,,,,,,,
20,50,30,AM,,,,,,,,,
20,55,25,AM,,,,,,,,,
20,60,20,AM,,,,,,,,,
20,65,15,AM,,,,,,,,,
20,70,10,AM,,,,,,,,,
20,75,5,AM,,,,,,,,,
20,80,0,AM,,,,,,,,,
25,45,30,AM,,,,,,,,,
25,50,25,AM,,,,,,,,,
25,55,20,AM,,,,,,,,,
25,60,15,AM,,,,,,,,,
25,65,10,AM,,,,,,,,,
25,70,5,AM,,,,,,,,,
30,40,30,AM,,,,,,,,,
30,45,25,AM,,,,,,,,,
30,50,20,AM,,,,,,,,,
30,55,15,AM,,,,,,,,,
30,60,10,AM,,,,,,,,,
30,65,5,AM,,,,,,,,,
30,70,0,AM,,,,,,,,,
35,30,35,AM,,,,,,,,,
35,45,20,AM,,,,,,,,,
35,50,15,AM,,,,,,,,,
35,55,10,AM,,,,,,,,,
40,30,30,AM,,,,,,,,,
40,40,20,AM,,,,,,,,,
40,50,10,AM,,,,,,,,,
40,55,5,AM,,,,,,,,,
40,60,0,AM,,,,,,,,,
50,20,30,AM,,,,,,,,,
50,30,20,AM,,,,,,,,,
50,40,10,AM,,,,,,,,,
60,10,30,AM,,,,,,,,,
60,20,20,AM,,,,,,,,,
0,92.5,7.5,AC,,,,,,,,,
5,90,5,AC,,,,,,,,,
10,90,0,AC,,,,,,,,,
15,60,25,AC,,,,,,,,,
20,40,40,AC,,,,,,,,,
40,20,40,AC,,,,,,,,,
60,30,10,AC,,,,,,,,,
0,85,15,CR,,,,,,,,,
0,90,10,CR,,,,,,,,,
0,95,5,CR,,,,,,,,,
0,97.5,2.5,CR,,,,,,,,,
5,80,15,CR,,,,,,,,,
10,65,25,CR,,,,,,,,,
50,50,0,CR,,,,,,,,,
60,0,40,CR,,,,,,,,,
70,0,30,CR,,,,,,,,,
70,10,20,CR,,,,,,,,,
80,0,20,CR,,,,,,,,,
Cu,Mg,Y,Phase,,,,,,,,,
5,85,10,AM,,,,,,,,,
10,65,25,AM,,,,,,,,,
10,70,20,AM,,,,,,,,,
10,80,10,AM,,,,,,,,,
10,85,5,AM,,,,,,,,,
15,70,15,AM,,,,,,,,,
15,80,5,AM,,,,,,,,,
20,50,30,AM,,,,,,,,,
20,60,20,AM,,,,,,,,,
20,70,10,AM,,,,,,,,,
20,80,0,AM,,,,,,,,,
25,60,15,AM,,,,,,,,,
25,65,10,AM,,,,,,,,,
25,70,5,AM,,,,,,,,,
30,40,30,AM,,,,,,,,,
30,50,20,AM,,,,,,,,,
30,60,10,AM,,,,,,,,,
30,70,0,AM,,,,,,,,,
40,30,30,AM,,,,,,,,,
40,40,20,AM,,,,,,,,,
40,55,5,AM,,,,,,,,,
40,60,0,AM,,,,,,,,,
1,84,15,AM,,,,,,,,,
20,79,1,AM,,,,,,,,,
30,69,1,AM,,,,,,,,,
37,48,15,AM,,,,,,,,,
40,59,1,AM,,,,,,,,,
1,79,20,AC,,,,,,,,,
5,65,30,AC,,,,,,,,,
5,75,20,AC,,,,,,,,,
10,60,30,AC,,,,,,,,,
15,84,1,AC,,,,,,,,,
30,30,40,AC,,,,,,,,,
40,20,40,AC,,,,,,,,,
1,89,10,CR,,,,,,,,,
5,90,5,CR,,,,,,,,,
10,89,1,CR,,,,,,,,,
8,80,12,AM,,,,,,,,,
16,60,24,AM,,,,,,,,,
24,40,36,AM,,,,,,,,,
32,20,48,AM,,,,,,,,,
40,0,60,AM,,,,,,,,,
10,75,15,AM,,,,,,,,,
15,75,10,AM,,,,,,,,,
5,87.5,7.5,CR,,,,,,,,,
Cu,Nb,Sn,Phase,,,,,,,,,
44,42,14,AM,,,,,,,,,
45,35,20,AM,,,,,,,,,
45,50,5,AM,,,,,,,,,
Cu,Nb,Ti,Phase,,,,,,,,,
38.2,33,28.8,AM,,,,,,,,,
39.9,30,30.1,AM,,,,,,,,,
42.7,25,32.3,AM,,,,,,,,,
45.6,20,34.4,AM,,,,,,,,,
48.4,15,36.6,AM,,,,,,,,,
51.3,10,38.7,AM,,,,,,,,,
54.1,5,40.9,AM,,,,,,,,,
56.4,1,42.6,AM,,,,,,,,,
57,1,42,AM,,,,,,,,,
57,5,38,AM,,,,,,,,,
57,10,33,AM,,,,,,,,,
57,15,28,AM,,,,,,,,,
57,20,23,AM,,,,,,,,,
57,22,21,AM,,,,,,,,,
Cu,Nb,Zr,Phase,,,,,,,,,
38.2,33,28.8,AM,,,,,,,,,
39.9,30,30.1,AM,,,,,,,,,
42.7,25,32.3,AM,,,,,,,,,
45.6,20,34.4,AM,,,,,,,,,
48.4,15,36.6,AM,,,,,,,,,
51.3,10,38.7,AM,,,,,,,,,
54.1,5,40.9,AM,,,,,,,,,
56.4,1,42.6,AM,,,,,,,,,
57,1,42,AM,,,,,,,,,
57,5,38,AM,,,,,,,,,
57,10,33,AM,,,,,,,,,
57,15,28,AM,,,,,,,,,
57,20,23,AM,,,,,,,,,
57,22,21,AM,,,,,,,,,
53.5,2.2,44.3,AM,,,,,,,,,
Cu,Ni,Ti,Phase,,,,,,,,,
16,23,61,AM,,,,,,,,,
0,30,70,AM,,,,,,,,,
0,33,67,AM,,,,,,,,,
0,40,60,AM,,,,,,,,,
0,45,55,AM,,,,,,,,,
5,20,75,AM,,,,,,,,,
10,20,70,AM,,,,,,,,,
10,30,60,AM,,,,,,,,,
20,10,70,AM,,,,,,,,,
20,20,60,AM,,,,,,,,,
20,30,50,AM,,,,,,,,,
25,25,50,AM,,,,,,,,,
30,10,60,AM,,,,,,,,,
30,20,50,AM,,,,,,,,,
30,30,40,AM,,,,,,,,,
35,0,65,AM,,,,,,,,,
40,0,60,AM,,,,,,,,,
40,10,50,AM,,,,,,,,,
40,20,40,AM,,,,,,,,,
40,30,30,AM,,,,,,,,,
50,0,50,AM,,,,,,,,,
50,10,40,AM,,,,,,,,,
50,20,30,AM,,,,,,,,,
60,0,40,AM,,,,,,,,,
60,10,30,AM,,,,,,,,,
70,0,30,AM,,,,,,,,,
75,0,25,AM,,,,,,,,,
0,25,75,AC,,,,,,,,,
0,50,50,AC,,,,,,,,,
0,60,40,AC,,,,,,,,,
0,65,35,AC,,,,,,,,,
10,40,50,AC,,,,,,,,,
10,50,40,AC,,,,,,,,,
15,5,80,AC,,,,,,,,,
20,40,40,AC,,,,,,,,,
30,0,70,AC,,,,,,,,,
30,40,30,AC,,,,,,,,,
35,35,30,AC,,,,,,,,,
40,40,20,AC,,,,,,,,,
50,30,20,AC,,,,,,,,,
80,0,20,AC,,,,,,,,,
0,10,90,CR,,,,,,,,,
0,20,80,CR,,,,,,,,,
0,70,30,CR,,,,,,,,,
0,75,25,CR,,,,,,,,,
0,90,10,CR,,,,,,,,,
5,5,90,CR,,,,,,,,,
5,10,85,CR,,,,,,,,,
5,15,80,CR,,,,,,,,,
10,0,90,CR,,,,,,,,,
10,10,80,CR,,,,,,,,,
10,60,30,CR,,,,,,,,,
10,70,20,CR,,,,,,,,,
10,80,10,CR,,,,,,,,,
15,10,75,CR,,,,,,,,,
20,50,30,CR,,,,,,,,,
20,60,20,CR,,,,,,,,,
20,70,10,CR,,,,,,,,,
30,50,20,CR,,,,,,,,,
30,60,10,CR,,,,,,,,,
50,40,10,CR,,,,,,,,,
70,10,20,CR,,,,,,,,,
70,20,10,CR,,,,,,,,,
80,10,10,CR,,,,,,,,,
90,0,10,CR,,,,,,,,,
45,10,45,AM,,,,,,,,,
0,50,50,CR,,,,,,,,,
10,40,50,CR,,,,,,,,,
13,37,50,CR,,,,,,,,,
15,35,50,CR,,,,,,,,,
5,45,50,CR,,,,,,,,,
15,67,18,AM,,,,,,,,,
15,69,16,AM,,,,,,,,,
Cu,Ni,Zr,Phase,,,,,,,,,
50,10,40,AM,,,,,,,,,
54,6,40,AM,,,,,,,,,
56,4,40,AM,,,,,,,,,
58,2,40,AM,,,,,,,,,
60,2,38,AM,,,,,,,,,
60,4,36,AM,,,,,,,,,
60,6,34,AM,,,,,,,,,
60,10,30,AM,,,,,,,,,
0,33,67,AM,,,,,,,,,
33,0.05,66.95,AM,,,,,,,,,
33,0.1,66.9,AM,,,,,,,,,
33,0.15,66.85,AM,,,,,,,,,
33,0.2,66.8,AM,,,,,,,,,
15,28.05,56.95,AM,,,,,,,,,
5,31.35,63.65,AM,,,,,,,,,
10,29.7,60.3,AM,,,,,,,,,
20,26.4,53.6,AM,,,,,,,,,
25,25,50,AM,,,,,,,,,
0,30,70,AM,,,,,,,,,
0,40,60,AM,,,,,,,,,
0,50,50,AM,,,,,,,,,
0,60,40,AM,,,,,,,,,
10,20,70,AM,,,,,,,,,
10,30,60,AM,,,,,,,,,
10,40,50,AM,,,,,,,,,
10,50,40,AM,,,,,,,,,
10,60,30,AM,,,,,,,,,
15,25,60,AM,,,,,,,,,
15,30,55,AM,,,,,,,,,
20,10,70,AM,,,,,,,,,
20,20,60,AM,,,,,,,,,
20,30,50,AM,,,,,,,,,
20,40,40,AM,,,,,,,,,
20,50,30,AM,,,,,,,,,
25,15,60,AM,,,,,,,,,
25,20,55,AM,,,,,,,,,
30,0,70,AM,,,,,,,,,
30,10,60,AM,,,,,,,,,
30,15,55,AM,,,,,,,,,
30,20,50,AM,,,,,,,,,
30,25,45,AM,,,,,,,,,
30,30,40,AM,,,,,,,,,
30,40,30,AM,,,,,,,,,
35,15,50,AM,,,,,,,,,
35,20,45,AM,,,,,,,,,
40,0,60,AM,,,,,,,,,
40,10,50,AM,,,,,,,,,
40,15,45,AM,,,,,,,,,
40,20,40,AM,,,,,,,,,
40,30,30,AM,,,,,,,,,
50,0,50,AM,,,,,,,,,
50,20,30,AM,,,,,,,,,
60,0,40,AM,,,,,,,,,
70,0,30,AM,,,,,,,,,
5,20,75,AC,,,,,,,,,
10,10,80,CR,,,,,,,,,
20,5,75,CR,,,,,,,,,
20,60,20,CR,,,,,,,,,
30,50,20,CR,,,,,,,,,
40,40,20,CR,,,,,,,,,
50,30,20,CR,,,,,,,,,
60,20,20,CR,,,,,,,,,
70,10,20,CR,,,,,,,,,
Cu,Ti,Zr,Phase,,,,,,,,,
39,17,44,AM,,,,,,,,,
39,21,40,AM,,,,,,,,,
40,30,30,AM,,,,,,,,,
44,10,46,AM,,,,,,,,,
44,16,40,AM,,,,,,,,,
45,20,35,AM,,,,,,,,,
45,25,30,AM,,,,,,,,,
47,35,18,AM,,,,,,,,,
50,0,50,AM,,,,,,,,,
50,15,35,AM,,,,,,,,,
50,30,20,AM,,,,,,,,,
54,11,35,AM,,,,,,,,,
55,20,25,AM,,,,,,,,,
55,25,20,AM,,,,,,,,,
56,0,44,AM,,,,,,,,,
60,25,15,AM,,,,,,,,,
60,40,0,AM,,,,,,,,,
62,0,38,AM,,,,,,,,,
65,0,35,AM,,,,,,,,,
65,20,15,AM,,,,,,,,,
70,0,30,AM,,,,,,,,,
31,41,28,AC,,,,,,,,,
34,44,22,AC,,,,,,,,,
46,0,54,AC,,,,,,,,,
66,34,0,AC,,,,,,,,,
75,8,17,AC,,,,,,,,,
20,80,0,CR,,,,,,,,,
28,0,72,CR,,,,,,,,,
30,70,0,CR,,,,,,,,,
33,0,67,CR,,,,,,,,,
35,65,0,CR,,,,,,,,,
75,0,25,CR,,,,,,,,,
75,25,0,CR,,,,,,,,,
80,0,20,CR,,,,,,,,,
85,15,0,CR,,,,,,,,,
95,0,5,CR,,,,,,,,,
50,50,0,AM,,,,,,,,,
50,17,33,AM,,,,,,,,,
50,25,25,AM,,,,,,,,,
50,33,17,AM,,,,,,,,,
30,30,40,AM,,,,,,,,,
30,40,30,AM,,,,,,,,,
30,50,20,AM,,,,,,,,,
40,10,50,AM,,,,,,,,,
40,20,40,AM,,,,,,,,,
40,40,20,AM,,,,,,,,,
40,50,10,AM,,,,,,,,,
50,10,40,AM,,,,,,,,,
50,20,30,AM,,,,,,,,,
